Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I4,Price,81,78,4.925925926,4.923076923,P4L3I5, Very gentle,23,23,4.956521739,4.956521739,P4L4I815, definitely a good price point,P4R1332,4,No,Yes,No,0,0,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I12,Packaging,51,46,4.784313725,4.804347826,P4L3I11, never caused an acne flare,12,12,4.916666667,4.916666667,P4L4I816, 6 oz jar is pretty big,P4R1332,4,No,Yes,No,0,0,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I12,Packaging,51,46,4.784313725,4.804347826,P4L3I3, calm any redness,17,12,4.75,4.705882353,P4L4I817, Bonus that this can be used on other places,P4R1332,4,No,Yes,No,0,0,,Acne
Negative,P4L1I3,Emotional,26,24,3,2.958333333,P4L2I3,Sentiment,13,12,3.076923077,3,P4L3I1, very dry T-Zone quickly,13,12,3,3.076923077,P4L4I818, comparable to Lala Whipped face cream by Drunk Elephant,P4R1332,4,No,Yes,No,0,0,,Acne
Negative,P4L1I4,Product,86,72,3.197674419,3.333333333,P4L2I13,Odor,32,25,2.78125,2.92,P4L3I1, very dry T-Zone quickly,32,25,2.92,2.78125,P4L4I819, smells very medicated,P4R1332,4,No,Yes,No,0,0,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I6, price is worth it,20,20,4.8,4.8,P4L4I820, Lightweight,P4R1334,5,No,Yes,No,0,0,,Aging
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I18,Sent,,,,,P4L3I51,,,,,,P4L4I821, Neutral sent,P4R1334,5,No,Yes,No,0,0,,Aging
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I6,Purchase,63,60,4.936507937,4.933333333,P4L3I5, Very gentle,16,16,4.9375,4.9375,P4L4I822, I'd snap it up quick,P4R1334,5,No,Yes,No,0,0,,Aging
Negative,P4L1I4,Product,86,72,3.197674419,3.333333333,P4L2I12,Packaging,20,17,4.3,4.294117647,P4L3I27, absorbs very well,5,4,4.5,4.6,P4L4I823, wish they had a extra large with a pump,P4R1334,5,No,Yes,No,0,0,,Aging
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I29, feels thick,20,19,4.894736842,4.9,P4L4I824, Only a tiny amount warmed betwee,P4R1336,5,No,Yes,No,0,0,,Aging
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I11,Application,127,121,4.779527559,4.785123967,P4L3I27, absorbs very well,6,6,5,5,P4L4I825, following a lightly applied serum,P4R1336,5,No,Yes,No,0,0,,Aging
